Offset	Sensor Name                                            Value
9881.9	Steering wheel angle                                   4.0°
9885.5	Vehicle yaw rate                                       -1.4°/s
9885.5	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
9885.5	Vehicle lateral acceleration (+ means left)            -0.56m/s²
9887.0	Displayed vehicle speed                                73.5km/h
9892.2	Steering wheel angle                                   4.0°
9902.1	Steering wheel angle                                   4.0°
9905.5	Vehicle yaw rate                                       -1.58°/s
9905.5	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
9905.5	Vehicle lateral acceleration (+ means left)            -0.56m/s²
9911.9	Steering wheel angle                                   4.0°
9922.1	Steering wheel angle                                   4.0°
9925.6	Vehicle yaw rate                                       -1.4°/s
9925.6	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
9925.6	Vehicle lateral acceleration (+ means left)            -0.56m/s²
9932.1	Steering wheel angle                                   4.0°
9941.9	Steering wheel angle                                   4.0°
9945.5	Vehicle yaw rate                                       -1.58°/s
9945.5	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
9945.5	Vehicle lateral acceleration (+ means left)            -0.64m/s²
9952.1	Steering wheel angle                                   4.0°
9961.8	Steering wheel angle                                   4.0°
9965.4	Vehicle yaw rate                                       -1.58°/s
9965.4	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
9965.4	Vehicle lateral acceleration (+ means left)            -0.64m/s²
9972.0	Steering wheel angle                                   4.0°
9981.8	Steering wheel angle                                   4.0°
9985.5	Vehicle yaw rate                                       -1.4°/s
9985.5	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
9985.5	Vehicle lateral acceleration (+ means left)            -0.64m/s²
9987.1	Displayed vehicle speed                                73.7km/h
9992.2	Steering wheel angle                                   4.0°
10000.0	GPS                                                    52.72177°, 13.226307°
10002.1	Steering wheel angle                                   4.0°
10005.6	Vehicle yaw rate                                       -1.58°/s
10005.6	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10005.6	Vehicle lateral acceleration (+ means left)            -0.64m/s²
10011.8	Steering wheel angle                                   4.0°
10021.9	Steering wheel angle                                   4.0°
10025.4	Vehicle yaw rate                                       -1.4°/s
10025.4	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
10025.4	Vehicle lateral acceleration (+ means left)            -0.64m/s²
10031.8	Steering wheel angle                                   4.0°
10041.9	Steering wheel angle                                   4.0°
10045.5	Vehicle yaw rate                                       -1.4°/s
10045.5	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10045.5	Vehicle lateral acceleration (+ means left)            -0.64m/s²
10052.2	Steering wheel angle                                   4.0°
10061.8	Steering wheel angle                                   4.0°
10065.4	Vehicle yaw rate                                       -1.58°/s
10065.4	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
10065.4	Vehicle lateral acceleration (+ means left)            -0.64m/s²
10072.2	Steering wheel angle                                   4.0°
10081.8	Steering wheel angle                                   4.0°
10085.5	Vehicle yaw rate                                       -1.4°/s
10085.5	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10085.5	Vehicle lateral acceleration (+ means left)            -0.64m/s²
10086.8	Displayed vehicle speed                                73.9km/h
10092.2	Steering wheel angle                                   4.0°
10101.8	Steering wheel angle                                   4.0°
10105.5	Vehicle yaw rate                                       -1.4°/s
10105.5	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10105.5	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10112.2	Steering wheel angle                                   4.0°
10121.8	Steering wheel angle                                   4.0°
10125.4	Vehicle yaw rate                                       -1.4°/s
10125.4	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
10125.4	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10131.9	Steering wheel angle                                   4.0°
10141.8	Steering wheel angle                                   4.0°
10145.6	Vehicle yaw rate                                       -1.23°/s
10145.6	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10145.6	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10151.9	Steering wheel angle                                   4.0°
10161.8	Steering wheel angle                                   4.0°
10165.6	Vehicle yaw rate                                       -1.4°/s
10165.6	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10165.6	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10171.9	Steering wheel angle                                   4.0°
10182.1	Steering wheel angle                                   4.0°
10185.5	Vehicle yaw rate                                       -1.4°/s
10185.5	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
10185.5	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10186.7	Displayed vehicle speed                                73.9km/h
10192.1	Steering wheel angle                                   4.0°
10201.9	Steering wheel angle                                   4.0°
10205.4	Vehicle yaw rate                                       -1.4°/s
10205.4	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10205.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10212.1	Steering wheel angle                                   4.0°
10221.9	Steering wheel angle                                   4.0°
10225.4	Vehicle yaw rate                                       -1.4°/s
10225.4	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10225.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10231.9	Steering wheel angle                                   4.0°
10242.0	Steering wheel angle                                   4.0°
10245.6	Vehicle yaw rate                                       -1.4°/s
10245.6	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
10245.6	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10252.0	Steering wheel angle                                   4.0°
10261.8	Steering wheel angle                                   4.0°
10265.4	Vehicle yaw rate                                       -1.4°/s
10265.4	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10265.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10271.8	Steering wheel angle                                   4.0°
10282.1	Steering wheel angle                                   4.0°
10285.4	Vehicle yaw rate                                       -1.4°/s
10285.4	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
10285.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10287.1	Displayed vehicle speed                                74.0km/h
10292.1	Steering wheel angle                                   4.0°
10301.7	Steering wheel angle                                   4.0°
10305.4	Vehicle yaw rate                                       -1.4°/s
10305.4	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10305.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10311.9	Steering wheel angle                                   4.0°
10321.8	Steering wheel angle                                   4.0°
10325.5	Vehicle yaw rate                                       -1.4°/s
10325.5	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10325.5	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10331.8	Steering wheel angle                                   4.0°
10341.8	Steering wheel angle                                   4.0°
10345.5	Vehicle yaw rate                                       -1.4°/s
10345.5	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
10345.5	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10351.8	Steering wheel angle                                   4.0°
10361.8	Steering wheel angle                                   4.0°
10365.3	Vehicle yaw rate                                       -1.4°/s
10365.3	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10365.3	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10371.8	Steering wheel angle                                   4.0°
10381.8	Steering wheel angle                                   4.0°
10385.4	Vehicle yaw rate                                       -1.4°/s
10385.4	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
10385.4	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10387.4	Displayed vehicle speed                                74.2km/h
10391.9	Steering wheel angle                                   4.0°
10401.7	Steering wheel angle                                   4.0°
10405.6	Vehicle yaw rate                                       -1.4°/s
10405.6	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10405.6	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10411.9	Steering wheel angle                                   4.0°
10421.7	Steering wheel angle                                   4.0°
10425.4	Vehicle yaw rate                                       -1.4°/s
10425.4	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10425.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10431.7	Steering wheel angle                                   4.0°
10441.8	Steering wheel angle                                   4.0°
10445.5	Vehicle yaw rate                                       -1.23°/s
10445.5	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
10445.5	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10451.9	Steering wheel angle                                   4.0°
10461.7	Steering wheel angle                                   4.0°
10465.4	Vehicle yaw rate                                       -1.4°/s
10465.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10465.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10471.7	Steering wheel angle                                   4.0°
10481.8	Steering wheel angle                                   4.0°
10485.5	Vehicle yaw rate                                       -1.58°/s
10485.5	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10485.5	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10486.6	Displayed vehicle speed                                74.5km/h
10491.9	Steering wheel angle                                   4.0°
10501.7	Steering wheel angle                                   4.0°
10505.4	Vehicle yaw rate                                       -1.4°/s
10505.4	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10505.4	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10511.9	Steering wheel angle                                   4.0°
10521.7	Steering wheel angle                                   4.0°
10525.4	Vehicle yaw rate                                       -1.4°/s
10525.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10525.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10531.8	Steering wheel angle                                   4.0°
10541.8	Steering wheel angle                                   4.0°
10545.5	Vehicle yaw rate                                       -1.4°/s
10545.5	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
10545.5	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10551.8	Steering wheel angle                                   4.0°
10561.7	Steering wheel angle                                   4.0°
10565.6	Vehicle yaw rate                                       -1.4°/s
10565.6	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10565.6	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10571.7	Steering wheel angle                                   4.0°
10581.8	Steering wheel angle                                   4.0°
10585.4	Vehicle yaw rate                                       -1.4°/s
10585.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10585.4	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10586.5	Displayed vehicle speed                                74.7km/h
10591.9	Steering wheel angle                                   4.0°
10601.7	Steering wheel angle                                   4.0°
10605.3	Vehicle yaw rate                                       -1.4°/s
10605.3	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10605.3	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10611.9	Steering wheel angle                                   4.0°
10621.7	Steering wheel angle                                   4.0°
10625.4	Vehicle yaw rate                                       -1.23°/s
10625.4	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10625.4	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10631.7	Steering wheel angle                                   4.0°
10641.7	Steering wheel angle                                   4.0°
10645.6	Vehicle yaw rate                                       -1.23°/s
10645.6	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10645.6	Vehicle lateral acceleration (+ means left)            -0.56m/s²
10651.8	Steering wheel angle                                   4.0°
10661.7	Steering wheel angle                                   4.0°
10665.4	Vehicle yaw rate                                       -1.05°/s
10665.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10665.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10671.6	Steering wheel angle                                   4.0°
10681.7	Steering wheel angle                                   4.0°
10685.4	Vehicle yaw rate                                       -1.23°/s
10685.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10685.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10687.2	Displayed vehicle speed                                74.8km/h
10691.9	Steering wheel angle                                   2.0°
10701.8	Steering wheel angle                                   2.0°
10705.5	Vehicle yaw rate                                       -1.23°/s
10705.5	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10705.5	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10711.7	Steering wheel angle                                   2.0°
10721.8	Steering wheel angle                                   2.0°
10725.5	Vehicle yaw rate                                       -1.23°/s
10725.5	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10725.5	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10731.7	Steering wheel angle                                   2.0°
10741.7	Steering wheel angle                                   2.0°
10745.4	Vehicle yaw rate                                       -1.23°/s
10745.4	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
10745.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10751.7	Steering wheel angle                                   2.0°
10761.7	Steering wheel angle                                   2.0°
10765.4	Vehicle yaw rate                                       -1.23°/s
10765.4	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
10765.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10771.7	Steering wheel angle                                   2.0°
10781.7	Steering wheel angle                                   2.0°
10785.4	Vehicle yaw rate                                       -1.05°/s
10785.4	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
10785.4	Vehicle lateral acceleration (+ means left)            -0.4m/s²
10786.9	Displayed vehicle speed                                75.0km/h
10791.9	Steering wheel angle                                   2.0°
10801.7	Steering wheel angle                                   2.0°
10805.5	Vehicle yaw rate                                       -1.05°/s
10805.5	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10805.5	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10811.7	Steering wheel angle                                   2.0°
10821.8	Steering wheel angle                                   2.0°
10825.4	Vehicle yaw rate                                       -1.05°/s
10825.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10825.4	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10831.6	Steering wheel angle                                   2.0°
10841.7	Steering wheel angle                                   2.0°
10845.4	Vehicle yaw rate                                       -1.05°/s
10845.4	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
10845.4	Vehicle lateral acceleration (+ means left)            -0.4m/s²
10851.7	Steering wheel angle                                   2.0°
10861.9	Steering wheel angle                                   2.0°
10865.3	Vehicle yaw rate                                       -1.05°/s
10865.3	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
10865.3	Vehicle lateral acceleration (+ means left)            -0.4m/s²
10871.6	Steering wheel angle                                   2.0°
10881.7	Steering wheel angle                                   2.0°
10885.5	Vehicle yaw rate                                       -1.05°/s
10885.5	Vehicle longitudinal acceleration (+ means forward)    1.12m/s²
10885.5	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10886.4	Displayed vehicle speed                                75.3km/h
10891.9	Steering wheel angle                                   2.0°
10901.9	Steering wheel angle                                   2.0°
10905.4	Vehicle yaw rate                                       -1.05°/s
10905.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10905.4	Vehicle lateral acceleration (+ means left)            -0.4m/s²
10911.9	Steering wheel angle                                   2.0°
10921.9	Steering wheel angle                                   2.0°
10925.3	Vehicle yaw rate                                       -0.88°/s
10925.3	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10925.3	Vehicle lateral acceleration (+ means left)            -0.48m/s²
10931.6	Steering wheel angle                                   2.0°
10941.7	Steering wheel angle                                   0.0°
10945.5	Vehicle yaw rate                                       -0.88°/s
10945.5	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
10945.5	Vehicle lateral acceleration (+ means left)            -0.4m/s²
10951.6	Steering wheel angle                                   0.0°
10961.6	Steering wheel angle                                   0.0°
10965.5	Vehicle yaw rate                                       -0.88°/s
10965.5	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10965.5	Vehicle lateral acceleration (+ means left)            -0.4m/s²
10971.6	Steering wheel angle                                   0.0°
10981.6	Steering wheel angle                                   0.0°
10985.4	Vehicle yaw rate                                       -0.88°/s
10985.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
10985.4	Vehicle lateral acceleration (+ means left)            -0.4m/s²
10987.2	Displayed vehicle speed                                75.4km/h
10991.8	Steering wheel angle                                   0.0°
11000.0	GPS                                                    52.721844°, 13.226593°
11001.9	Steering wheel angle                                   0.0°
11005.3	Vehicle yaw rate                                       -0.7°/s
11005.3	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11005.3	Vehicle lateral acceleration (+ means left)            -0.4m/s²
11011.7	Steering wheel angle                                   0.0°
11021.7	Steering wheel angle                                   0.0°
11025.3	Vehicle yaw rate                                       -0.7°/s
11025.3	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11025.3	Vehicle lateral acceleration (+ means left)            -0.4m/s²
11031.6	Steering wheel angle                                   0.0°
11041.5	Steering wheel angle                                   0.0°
11045.6	Vehicle yaw rate                                       -0.7°/s
11045.6	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11045.6	Vehicle lateral acceleration (+ means left)            -0.24m/s²
11051.7	Steering wheel angle                                   0.0°
11061.6	Steering wheel angle                                   0.0°
11065.4	Vehicle yaw rate                                       -0.7°/s
11065.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
11065.4	Vehicle lateral acceleration (+ means left)            -0.24m/s²
11071.8	Steering wheel angle                                   0.0°
11081.6	Steering wheel angle                                   0.0°
11085.4	Vehicle yaw rate                                       -0.7°/s
11085.4	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
11085.4	Vehicle lateral acceleration (+ means left)            -0.16m/s²
11087.0	Displayed vehicle speed                                75.7km/h
11092.0	Steering wheel angle                                   0.0°
11101.9	Steering wheel angle                                   0.0°
11105.3	Vehicle yaw rate                                       -0.53°/s
11105.3	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11105.3	Vehicle lateral acceleration (+ means left)            -0.16m/s²
11111.9	Steering wheel angle                                   0.0°
11121.8	Steering wheel angle                                   0.0°
11125.5	Vehicle yaw rate                                       -0.53°/s
11125.5	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11125.5	Vehicle lateral acceleration (+ means left)            -0.16m/s²
11131.7	Steering wheel angle                                   0.0°
11141.8	Steering wheel angle                                   0.0°
11145.4	Vehicle yaw rate                                       -0.35°/s
11145.4	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11145.4	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11151.7	Steering wheel angle                                   -2.0°
11161.6	Steering wheel angle                                   -2.0°
11165.3	Vehicle yaw rate                                       -0.53°/s
11165.3	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11165.3	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11171.8	Steering wheel angle                                   -2.0°
11181.6	Steering wheel angle                                   -2.0°
11185.6	Vehicle yaw rate                                       -0.53°/s
11185.6	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11185.6	Vehicle lateral acceleration (+ means left)            -0.16m/s²
11186.6	Displayed vehicle speed                                76.1km/h
11191.8	Steering wheel angle                                   -2.0°
11201.7	Steering wheel angle                                   -2.0°
11205.5	Vehicle yaw rate                                       -0.35°/s
11205.5	Vehicle longitudinal acceleration (+ means forward)    1.2m/s²
11205.5	Vehicle lateral acceleration (+ means left)            -0.16m/s²
11211.8	Steering wheel angle                                   -2.0°
11221.7	Steering wheel angle                                   -2.0°
11225.4	Vehicle yaw rate                                       -0.53°/s
11225.4	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11225.4	Vehicle lateral acceleration (+ means left)            -0.16m/s²
11231.8	Steering wheel angle                                   -2.0°
11241.8	Steering wheel angle                                   -2.0°
11245.4	Vehicle yaw rate                                       -0.18°/s
11245.4	Vehicle longitudinal acceleration (+ means forward)    1.2m/s²
11245.4	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11251.9	Steering wheel angle                                   -2.0°
11261.6	Steering wheel angle                                   -2.0°
11265.3	Vehicle yaw rate                                       -0.35°/s
11265.3	Vehicle longitudinal acceleration (+ means forward)    1.12m/s²
11265.3	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11271.6	Steering wheel angle                                   -2.0°
11281.6	Steering wheel angle                                   -2.0°
11285.4	Vehicle yaw rate                                       -0.35°/s
11285.4	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11285.4	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11286.3	Displayed vehicle speed                                76.3km/h
11291.8	Steering wheel angle                                   -2.0°
11301.6	Steering wheel angle                                   -2.0°
11305.5	Vehicle yaw rate                                       -0.18°/s
11305.5	Vehicle longitudinal acceleration (+ means forward)    1.12m/s²
11305.5	Vehicle lateral acceleration (+ means left)            -0.16m/s²
11311.6	Steering wheel angle                                   -2.0°
11321.5	Steering wheel angle                                   -2.0°
11325.4	Vehicle yaw rate                                       -0.35°/s
11325.4	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11325.4	Vehicle lateral acceleration (+ means left)            -0.16m/s²
11331.6	Steering wheel angle                                   -2.0°
11341.5	Steering wheel angle                                   -2.0°
11345.6	Vehicle yaw rate                                       -0.18°/s
11345.6	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11345.6	Vehicle lateral acceleration (+ means left)            -0.16m/s²
11351.7	Steering wheel angle                                   -2.0°
11361.6	Steering wheel angle                                   -2.0°
11365.7	Vehicle yaw rate                                       -0.18°/s
11365.7	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11365.7	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11371.6	Steering wheel angle                                   -2.0°
11381.6	Steering wheel angle                                   -2.0°
11385.5	Vehicle yaw rate                                       -0.18°/s
11385.5	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
11385.5	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11386.5	Displayed vehicle speed                                76.8km/h
11391.7	Steering wheel angle                                   -2.0°
11401.8	Steering wheel angle                                   -2.0°
11405.7	Vehicle yaw rate                                       -0.18°/s
11405.7	Vehicle longitudinal acceleration (+ means forward)    1.12m/s²
11405.7	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11411.6	Steering wheel angle                                   -2.0°
11421.6	Steering wheel angle                                   -2.0°
11425.6	Vehicle yaw rate                                       -0.01°/s
11425.6	Vehicle longitudinal acceleration (+ means forward)    1.12m/s²
11425.6	Vehicle lateral acceleration (+ means left)            0.0m/s²
11431.7	Steering wheel angle                                   -2.0°
11441.8	Steering wheel angle                                   -2.0°
11445.8	Vehicle yaw rate                                       -0.18°/s
11445.8	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11445.8	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11451.8	Steering wheel angle                                   -2.0°
11461.6	Steering wheel angle                                   -2.0°
11465.5	Vehicle yaw rate                                       -0.18°/s
11465.5	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11465.5	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11471.8	Steering wheel angle                                   -2.0°
11481.6	Steering wheel angle                                   -2.0°
11485.5	Vehicle yaw rate                                       -0.18°/s
11485.5	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11485.5	Vehicle lateral acceleration (+ means left)            0.0m/s²
11486.9	Displayed vehicle speed                                77.1km/h
11491.9	Steering wheel angle                                   -2.0°
11501.8	Steering wheel angle                                   -2.0°
11505.7	Vehicle yaw rate                                       -0.18°/s
11505.7	Vehicle longitudinal acceleration (+ means forward)    1.2m/s²
11505.7	Vehicle lateral acceleration (+ means left)            0.0m/s²
11511.8	Steering wheel angle                                   -2.0°
11521.5	Steering wheel angle                                   -2.0°
11525.7	Vehicle yaw rate                                       -0.01°/s
11525.7	Vehicle longitudinal acceleration (+ means forward)    1.12m/s²
11525.7	Vehicle lateral acceleration (+ means left)            0.0m/s²
11531.8	Steering wheel angle                                   -2.0°
11541.6	Steering wheel angle                                   -2.0°
11545.6	Vehicle yaw rate                                       -0.01°/s
11545.6	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11545.6	Vehicle lateral acceleration (+ means left)            0.0m/s²
11551.7	Steering wheel angle                                   -2.0°
11561.5	Steering wheel angle                                   -2.0°
11565.5	Vehicle yaw rate                                       -0.01°/s
11565.5	Vehicle longitudinal acceleration (+ means forward)    1.12m/s²
11565.5	Vehicle lateral acceleration (+ means left)            0.0m/s²
11571.6	Steering wheel angle                                   -2.0°
11581.6	Steering wheel angle                                   -2.0°
11585.5	Vehicle yaw rate                                       -0.01°/s
11585.5	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11585.5	Vehicle lateral acceleration (+ means left)            0.0m/s²
11586.4	Displayed vehicle speed                                77.2km/h
11591.7	Steering wheel angle                                   -2.0°
11601.7	Steering wheel angle                                   -2.0°
11605.9	Vehicle yaw rate                                       -0.01°/s
11605.9	Vehicle longitudinal acceleration (+ means forward)    1.12m/s²
11605.9	Vehicle lateral acceleration (+ means left)            0.0m/s²
11611.7	Steering wheel angle                                   -2.0°
11621.6	Steering wheel angle                                   -2.0°
11625.5	Vehicle yaw rate                                       -0.18°/s
11625.5	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11625.5	Vehicle lateral acceleration (+ means left)            0.0m/s²
11631.7	Steering wheel angle                                   -2.0°
11641.6	Steering wheel angle                                   -2.0°
11645.6	Vehicle yaw rate                                       -0.01°/s
11645.6	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11645.6	Vehicle lateral acceleration (+ means left)            0.0m/s²
11651.7	Steering wheel angle                                   -2.0°
11661.7	Steering wheel angle                                   -2.0°
11665.8	Vehicle yaw rate                                       -0.01°/s
11665.8	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11665.8	Vehicle lateral acceleration (+ means left)            0.0m/s²
11671.7	Steering wheel angle                                   -2.0°
11681.7	Steering wheel angle                                   -2.0°
11685.5	Vehicle yaw rate                                       -0.01°/s
11685.5	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
11685.5	Vehicle lateral acceleration (+ means left)            0.0m/s²
11687.1	Displayed vehicle speed                                77.3km/h
11691.7	Steering wheel angle                                   -2.0°
11701.7	Steering wheel angle                                   -2.0°
11705.2	Vehicle yaw rate                                       -0.01°/s
11705.2	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11705.2	Vehicle lateral acceleration (+ means left)            0.0m/s²
11711.7	Steering wheel angle                                   -2.0°
11721.8	Steering wheel angle                                   -2.0°
11725.5	Vehicle yaw rate                                       -0.01°/s
11725.5	Vehicle longitudinal acceleration (+ means forward)    1.04m/s²
11725.5	Vehicle lateral acceleration (+ means left)            -0.08m/s²
11731.7	Steering wheel angle                                   -2.0°
11741.4	Steering wheel angle                                   -2.0°
11745.5	Vehicle yaw rate                                       0.16°/s
11745.5	Vehicle longitudinal acceleration (+ means forward)    0.88m/s²
11745.5	Vehicle lateral acceleration (+ means left)            0.0m/s²
11751.7	Steering wheel angle                                   -2.0°
11761.5	Steering wheel angle                                   -2.0°
11765.4	Vehicle yaw rate                                       0.16°/s
11765.4	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11765.4	Vehicle lateral acceleration (+ means left)            0.0m/s²
11771.7	Steering wheel angle                                   -2.0°
11781.7	Steering wheel angle                                   -2.0°
11785.5	Vehicle yaw rate                                       0.16°/s
11785.5	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
11785.5	Vehicle lateral acceleration (+ means left)            0.0m/s²
11786.4	Displayed vehicle speed                                77.6km/h
11791.7	Steering wheel angle                                   -2.0°
11801.5	Steering wheel angle                                   -2.0°
11805.2	Vehicle yaw rate                                       0.16°/s
11805.2	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11805.2	Vehicle lateral acceleration (+ means left)            0.0m/s²
11811.7	Steering wheel angle                                   -2.0°
11821.8	Steering wheel angle                                   -2.0°
11825.3	Vehicle yaw rate                                       -0.01°/s
11825.3	Vehicle longitudinal acceleration (+ means forward)    0.96m/s²
11825.3	Vehicle lateral acceleration (+ means left)            0.0m/s²
11831.7	Steering wheel angle                                   -2.0°
11841.8	Steering wheel angle                                   -2.0°
11845.5	Vehicle yaw rate                                       0.16°/s
